frame,vehicle_type
frame_2040.jpg,car
frame_2040.jpg,person
frame_2040.jpg,person
frame_2040.jpg,car
frame_2040.jpg,truck
frame_2040.jpg,car
frame_2040.jpg,car
frame_2040.jpg,car
frame_2040.jpg,car
frame_2070.jpg,motorcycle
frame_2070.jpg,car
frame_2070.jpg,motorcycle
frame_2070.jpg,car
frame_2070.jpg,car
frame_2070.jpg,traffic light
frame_2070.jpg,car
frame_2070.jpg,person
frame_2070.jpg,car
frame_2070.jpg,traffic light
frame_2070.jpg,traffic light
frame_2070.jpg,person
frame_2070.jpg,car
frame_2070.jpg,car
frame_210.jpg,person
frame_210.jpg,car
frame_210.jpg,traffic light
frame_210.jpg,person
frame_210.jpg,car
frame_210.jpg,motorcycle
frame_210.jpg,car
frame_210.jpg,car
frame_210.jpg,car
frame_210.jpg,person
frame_210.jpg,car
frame_2100.jpg,motorcycle
frame_2100.jpg,person
frame_2100.jpg,car
frame_2100.jpg,car
frame_2100.jpg,car
frame_2100.jpg,traffic light
frame_2100.jpg,car
frame_2100.jpg,person
frame_2100.jpg,car
frame_2100.jpg,traffic light
frame_2100.jpg,car
frame_2100.jpg,person
frame_2100.jpg,traffic light
frame_2100.jpg,traffic light
frame_2130.jpg,car
frame_2130.jpg,traffic light
frame_2130.jpg,car
frame_2130.jpg,car
frame_2130.jpg,car
frame_2130.jpg,car
frame_2130.jpg,car
frame_2130.jpg,person
frame_2130.jpg,traffic light
frame_2130.jpg,traffic light
frame_2130.jpg,traffic light
frame_2130.jpg,person
frame_2160.jpg,car
frame_2160.jpg,person
frame_2160.jpg,car
frame_2160.jpg,car
frame_2160.jpg,car
frame_2160.jpg,car
frame_2160.jpg,person
frame_2160.jpg,traffic light
frame_2160.jpg,truck
frame_2160.jpg,person
frame_2160.jpg,car
frame_2160.jpg,car
frame_2160.jpg,person
frame_2160.jpg,car
frame_2160.jpg,traffic light
frame_2160.jpg,car
frame_2190.jpg,truck
frame_2190.jpg,car
frame_2190.jpg,car
frame_2190.jpg,truck
frame_2190.jpg,car
frame_2190.jpg,car
frame_2190.jpg,car
frame_2190.jpg,person
frame_2190.jpg,car
frame_2190.jpg,person
frame_2190.jpg,car
frame_2190.jpg,traffic light
frame_2220.jpg,person
frame_2220.jpg,traffic light
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,car
frame_2220.jpg,person
frame_2220.jpg,traffic light
frame_2220.jpg,car
frame_2250.jpg,traffic light
frame_2250.jpg,car
frame_2250.jpg,person
frame_2250.jpg,car
frame_2250.jpg,car
frame_2250.jpg,traffic light
frame_2250.jpg,person
frame_2250.jpg,car
frame_2250.jpg,car
frame_2250.jpg,traffic light
frame_2280.jpg,truck
frame_2280.jpg,person
frame_2280.jpg,traffic light
frame_2280.jpg,traffic light
frame_2280.jpg,car
frame_2280.jpg,car
frame_2280.jpg,person
frame_2280.jpg,traffic light
frame_2280.jpg,car
frame_2280.jpg,car
frame_2280.jpg,person
frame_2280.jpg,car
frame_2280.jpg,car
frame_2280.jpg,truck
frame_2280.jpg,car
frame_2280.jpg,person
frame_2310.jpg,person
frame_2310.jpg,truck
frame_2310.jpg,car
frame_2310.jpg,car
frame_2310.jpg,traffic light
frame_2310.jpg,traffic light
frame_2310.jpg,car
frame_2310.jpg,car
frame_2310.jpg,truck
frame_2310.jpg,car
frame_2310.jpg,fire hydrant
frame_2310.jpg,car
frame_2310.jpg,traffic light
frame_2310.jpg,car
frame_2310.jpg,person
frame_2310.jpg,person
frame_2310.jpg,car
frame_2310.jpg,person
frame_2340.jpg,person
frame_2340.jpg,traffic light
frame_2340.jpg,traffic light
frame_2340.jpg,person
frame_2340.jpg,car
frame_2340.jpg,car
frame_2340.jpg,truck
frame_2340.jpg,car
frame_2340.jpg,car
frame_2340.jpg,car
frame_2340.jpg,car
frame_2340.jpg,person
frame_2340.jpg,person
frame_2340.jpg,car
frame_2370.jpg,traffic light
frame_2370.jpg,car
frame_2370.jpg,person
frame_2370.jpg,car
frame_2370.jpg,person
frame_2370.jpg,person
frame_2370.jpg,car
frame_2370.jpg,car
frame_2370.jpg,car
frame_2370.jpg,person
frame_2370.jpg,person
frame_2370.jpg,car
frame_2370.jpg,person
frame_2370.jpg,truck
frame_2370.jpg,person
frame_2370.jpg,person
frame_2370.jpg,truck
frame_2370.jpg,person
frame_240.jpg,car
frame_240.jpg,bus
frame_240.jpg,car
frame_240.jpg,truck
frame_240.jpg,person
frame_240.jpg,person
frame_240.jpg,motorcycle
frame_240.jpg,car
frame_240.jpg,car
frame_240.jpg,car
frame_240.jpg,person
frame_2400.jpg,person
frame_2400.jpg,traffic light
frame_2400.jpg,person
frame_2400.jpg,car
frame_2400.jpg,person
frame_2400.jpg,car
frame_2400.jpg,car
frame_2400.jpg,car
frame_2400.jpg,car
frame_2400.jpg,person
frame_2400.jpg,person
frame_2400.jpg,car
frame_2400.jpg,person
frame_2400.jpg,traffic light
frame_2400.jpg,person
frame_2400.jpg,car
frame_2400.jpg,car
frame_2400.jpg,bus
frame_2400.jpg,person
frame_2400.jpg,person
frame_2400.jpg,person
frame_2430.jpg,traffic light
frame_2430.jpg,car
frame_2430.jpg,truck
frame_2430.jpg,person
frame_2430.jpg,car
frame_2430.jpg,car
frame_2430.jpg,person
frame_2430.jpg,car
frame_2430.jpg,person
frame_2430.jpg,car
frame_2430.jpg,truck
frame_2430.jpg,person
frame_2430.jpg,traffic light
frame_2430.jpg,car
frame_2430.jpg,car
frame_2430.jpg,traffic light
frame_2430.jpg,car
frame_2430.jpg,person
frame_2430.jpg,person
frame_2460.jpg,traffic light
frame_2460.jpg,car
frame_2460.jpg,person
frame_2460.jpg,truck
frame_2460.jpg,person
frame_2460.jpg,car
frame_2460.jpg,person
frame_2460.jpg,truck
frame_2460.jpg,person
frame_2460.jpg,car
frame_2460.jpg,car
frame_2460.jpg,car
frame_2460.jpg,person
frame_2460.jpg,car
frame_2460.jpg,car
frame_2460.jpg,motorcycle
frame_2460.jpg,person
frame_2460.jpg,person
frame_2460.jpg,car
frame_2460.jpg,traffic light
frame_2460.jpg,person
frame_2490.jpg,traffic light
frame_2490.jpg,car
frame_2490.jpg,traffic light
frame_2490.jpg,person
frame_2490.jpg,car
frame_2490.jpg,car
frame_2490.jpg,car
frame_2490.jpg,person
